timestep,junctionid,edge1_vehicle_count,edge2_vehicle_count,edge1_waiting_vehicle_count,edge2_waiting_vehicle_count,edge1_light_state,edge2_light_state,nextswitchtime,edge1_congestion,edge2_congestion
2036,cluster_1420096799_47154676,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested
2036,cluster_2461783448_38980632_5243070374,3,10,2,10,r,G,4.0,Congested,Non-Congested
2036,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2036,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested
2037,132200274,0,5,0,5,y,r,0.0,Non-Congested,Congested
2037,47217361,1,0,0,0,G,r,4.0,Non-Congested,Non-Congested
2037,cluster_1420096799_47154676,1,0,0,0,r,y,2.0,Non-Congested,Non-Congested
2037,cluster_2461783448_38980632_5243070374,2,10,1,9,r,G,3.0,Congested,Non-Congested
2037,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2037,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested
2038,132200274,0,5,0,5,r,G,4.0,Non-Congested,Congested
2038,cluster_1420096799_47154676,1,0,0,0,r,y,1.0,Non-Congested,Non-Congested
2038,cluster_2455590523_389713_47212064,0,1,0,0,r,r,1.0,Non-Congested,Non-Congested
2038,cluster_2461783448_38980632_5243070374,2,10,0,8,r,G,2.0,Non-Congested,Non-Congested
2038,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2038,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested
2039,132200274,0,5,0,5,r,G,3.0,Non-Congested,Congested
2039,cluster_1420096799_47154676,1,0,0,0,r,y,0.0,Non-Congested,Non-Congested
2039,cluster_2455590523_389713_47212064,0,1,0,0,r,r,0.0,Non-Congested,Non-Congested
2039,cluster_2461783448_38980632_5243070374,2,10,0,7,r,G,1.0,Non-Congested,Non-Congested
2039,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2039,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested
2040,132200274,0,5,0,5,r,G,2.0,Non-Congested,Congested
2040,cluster_1420096799_47154676,1,0,0,0,G,r,6.0,Non-Congested,Non-Congested
2040,cluster_2455590523_389713_47212064,0,1,0,0,r,r,0.0,Non-Congested,Non-Congested
2040,cluster_2461783448_38980632_5243070374,2,10,0,6,r,G,0.0,Non-Congested,Non-Congested
2040,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2040,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested
2041,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2041,cluster_1420096799_47154676,1,0,0,0,G,r,5.0,Non-Congested,Non-Congested
2041,cluster_2461783448_38980632_5243070374,2,10,0,6,r,y,4.0,Non-Congested,Non-Congested
2041,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
